t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1758240000000,2025-09-19 23:59:59.999,ASTER,1d,0.61,0.88692,0.90371,0.53947,205657541.0,142166,ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758326400000,2025-09-20 23:59:59.999,ASTER,1d,0.8863,0.94281,0.94589,0.86231,29520951.0,26155,ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758412800000,2025-09-21 23:59:59.999,ASTER,1d,1.6593,1.6,1.7408,1.5237,20119642.0,27245,ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758499200000,2025-09-22 23:59:59.999,ASTER,1d,1.3997,1.4116,1.4905,1.284,62426705.0,63337,ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758585600000,2025-09-23 23:59:59.999,ASTER,1d,1.6413,1.5016,1.6469,1.4806,34849526.0,30423,ASTER,1.7408,0.53947,1.140135,,,,,,,,,,,,,,,,,,,,,,,,
1758672000000,2025-09-24 23:59:59.999,ASTER,1d,1.9597,2.1159,2.122,1.9055,24590319.0,35214,ASTER,2.122,0.86231,1.492155,,,,,,,,,,,,,,,,,,,,,,,,
1758758400000,2025-09-25 23:59:59.999,ASTER,1d,2.3089,2.2974,2.3864,2.2656,18351649.0,31431,ASTER,2.3864,1.284,1.8352,,,,,,,,,,,,,,,,,,,,,,,,
1758844800000,2025-09-26 23:59:59.999,ASTER,1d,1.8793,1.7945,1.9353,1.7505,23735288.0,29839,ASTER,2.3864,1.284,1.8352,,,,,,,,,,,,,,,,,,,,,,,,
1758931200000,2025-09-27 23:59:59.999,ASTER,1d,2.0281,2.013,2.123,1.9904,14812138.0,17553,ASTER,2.3864,1.4806,1.9335,,,,,,,,,,,,,,,,,,,,,,,,
1759017600000,2025-09-28 23:59:59.999,ASTER,1d,1.9225,1.8773,1.9243,1.83,12208606.0,18082,ASTER,2.3864,1.7505,2.06845,2.3864,0.53947,1.462935,,,,,,,,,,,,,,,,,,,,,
1759104000000,2025-09-29 23:59:59.999,ASTER,1d,1.8555,1.7999,1.8682,1.7946,6731719.0,9850,ASTER,2.3864,1.7505,2.06845,2.3864,0.86231,1.624355,,,,,,,,,,,,,,,,,,,,,
1759190400000,2025-09-30 23:59:59.999,ASTER,1d,1.8994,1.9442,1.9748,1.895,13699584.0,19661,ASTER,2.123,1.7505,1.93675,2.3864,1.284,1.8352,,,,,,,,,,,,,,,,,,,,,
1759276800000,2025-10-01 23:59:59.999,ASTER,1d,1.621,1.6176,1.6327,1.57,8834337.0,12719,ASTER,2.123,1.57,1.8465000000000003,2.3864,1.284,1.8352,,,,,,,,,,,,,,,,,,,,,
1759363200000,2025-10-02 23:59:59.999,ASTER,1d,1.6392,1.6589,1.6696,1.6163,4566546.0,8025,ASTER,1.9748,1.57,1.7724000000000002,2.3864,1.4806,1.9335,,,,,,,,,,,,,,,,,,,,,
1759449600000,2025-10-03 23:59:59.999,ASTER,1d,1.7978,1.8161,1.8582,1.775,7395748.0,9819,ASTER,1.9748,1.57,1.7724000000000002,2.3864,1.57,1.9782000000000002,,,,,,,,,,,,,,,,,,,,,
1759536000000,2025-10-04 23:59:59.999,ASTER,1d,2.0815,2.0985,2.16,2.0539,13403653.0,21822,ASTER,2.16,1.57,1.8650000000000002,2.3864,1.57,1.9782000000000002,,,,,,,,,,,,,,,,,,,,,
1759622400000,2025-10-05 23:59:59.999,ASTER,1d,2.0633,1.9481,2.068,1.8829,26146350.0,29970,ASTER,2.16,1.57,1.8650000000000002,2.16,1.57,1.8650000000000002,,,,,,,,,,,,,,,,,,,,,
1759708800000,2025-10-06 23:59:59.999,ASTER,1d,1.8702,1.8811,1.94,1.8365,14366120.0,21040,ASTER,2.16,1.6163,1.88815,2.16,1.57,1.8650000000000002,,,,,,,,,,,,,,,,,,,,,
1759795200000,2025-10-07 23:59:59.999,ASTER,1d,2.0644,2.0646,2.1175,2.0341,10346034.0,18989,ASTER,2.16,1.775,1.9675,2.16,1.57,1.8650000000000002,,,,,,,,,,,,,,,,,,,,,
1759881600000,2025-10-08 23:59:59.999,ASTER,1d,2.0473,2.0257,2.1129,2.0116,18162092.0,18158,ASTER,2.16,1.8365,1.99825,2.16,1.57,1.8650000000000002,2.3864,0.53947,1.462935,,,,,,,,,,,,,,,,,,
1759968000000,2025-10-09 23:59:59.999,ASTER,1d,1.9287,1.8652,1.9288,1.8352,12605281.0,14076,ASTER,2.1175,1.8352,1.97635,2.16,1.57,1.8650000000000002,2.3864,0.86231,1.624355,,,,,,,,,,,,,,,,,,
1760054400000,2025-10-10 23:59:59.999,ASTER,1d,1.6822,1.6737,1.7262,1.6657,3862769.0,6520,ASTER,2.1175,1.6657,1.8916,2.16,1.57,1.8650000000000002,2.3864,1.284,1.8352,,,,,,,,,,,,,,,,,,
1760140800000,2025-10-11 23:59:59.999,ASTER,1d,1.3207,1.2287,1.3318,1.2085,18029739.0,18260,ASTER,2.1175,1.2085,1.663,2.16,1.2085,1.68425,2.3864,1.2085,1.79745,,,,,,,,,,,,,,,,,,
1760227200000,2025-10-12 23:59:59.999,ASTER,1d,1.1998,1.165,1.2145,1.1609,3818117.0,4192,ASTER,2.1129,1.1609,1.6368999999999998,2.16,1.1609,1.66045,2.3864,1.1609,1.77365,,,,,,,,,,,,,,,,,,
1760313600000,2025-10-13 23:59:59.999,ASTER,1d,1.4834,1.4752,1.5011,1.4518,2870947.0,5084,ASTER,1.9288,1.1609,1.54485,2.16,1.1609,1.66045,2.3864,1.1609,1.77365,,,,,,,,,,,,,,,,,,
1760400000000,2025-10-14 23:59:59.999,ASTER,1d,1.4511,1.4415,1.4928,1.4365,7634704.0,5973,ASTER,1.7262,1.1609,1.44355,2.1175,1.1609,1.6392000000000002,2.3864,1.1609,1.77365,,,,,,,,,,,,,,,,,,
1760486400000,2025-10-15 23:59:59.999,ASTER,1d,1.5035,1.4791,1.5081,1.4561,3774282.0,3949,ASTER,1.5081,1.1609,1.3345,2.1175,1.1609,1.6392000000000002,2.16,1.1609,1.66045,,,,,,,,,,,,,,,,,,
1760572800000,2025-10-16 23:59:59.999,ASTER,1d,1.2826,1.2998,1.3084,1.2672,2994681.0,3944,ASTER,1.5081,1.1609,1.3345,2.1175,1.1609,1.6392000000000002,2.16,1.1609,1.66045,,,,,,,,,,,,,,,,,,
1760659200000,2025-10-17 23:59:59.999,ASTER,1d,1.2572,1.2618,1.2774,1.2417,3283338.0,4627,ASTER,1.5081,1.2417,1.3749,2.1129,1.1609,1.6368999999999998,2.16,1.1609,1.66045,,,,,,,,,,,,,,,,,,
1760745600000,2025-10-18 23:59:59.999,ASTER,1d,1.158,1.1739,1.1841,1.1512,2305810.0,4344,ASTER,1.5081,1.1512,1.32965,1.9288,1.1512,1.54,2.16,1.1512,1.6556000000000002,2.3864,0.53947,1.462935,,,,,,,,,,,,,,,
1760832000000,2025-10-19 23:59:59.999,ASTER,1d,1.1761,1.1599,1.1798,1.1567,1750484.0,2384,ASTER,1.5081,1.1512,1.32965,1.7262,1.1512,1.4386999999999999,2.16,1.1512,1.6556000000000002,2.3864,0.86231,1.624355,,,,,,,,,,,,,,,
1760918400000,2025-10-20 23:59:59.999,ASTER,1d,1.199,1.1477,1.199,1.1477,2148182.0,2680,ASTER,1.3084,1.1477,1.22805,1.5081,1.1477,1.3279,2.16,1.1477,1.65385,2.3864,1.1477,1.76705,,,,,,,,,,,,,,,
1761004800000,2025-10-21 23:59:59.999,ASTER,1d,1.158,1.1386,1.173,1.1367,1384281.0,1825,ASTER,1.2774,1.1367,1.2070500000000002,1.5081,1.1367,1.3224,2.16,1.1367,1.6483500000000002,2.3864,1.1367,1.7615500000000002,,,,,,,,,,,,,,,
1761091200000,2025-10-22 23:59:59.999,ASTER,1d,1.041,1.039,1.0536,1.0316,3520100.0,4529,ASTER,1.199,1.0316,1.1153,1.5081,1.0316,1.26985,2.16,1.0316,1.5958,2.3864,1.0316,1.709,,,,,,,,,,,,,,,
1761177600000,2025-10-23 23:59:59.999,ASTER,1d,0.95433,0.96442,0.9684,0.94979,3330082.0,2736,ASTER,1.199,0.94979,1.074395,1.5081,0.94979,1.228945,2.16,0.94979,1.5548950000000001,2.3864,0.94979,1.668095,,,,,,,,,,,,,,,
1761264000000,2025-10-24 23:59:59.999,ASTER,1d,1.1045,1.1293,1.1441,1.1013,4851468.0,4126,ASTER,1.199,0.94979,1.074395,1.5081,0.94979,1.228945,2.1175,0.94979,1.5336450000000001,2.3864,0.94979,1.668095,,,,,,,,,,,,,,,
1761350400000,2025-10-25 23:59:59.999,ASTER,1d,1.118,1.1406,1.1425,1.1073,1725805.0,2163,ASTER,1.173,0.94979,1.061395,1.3084,0.94979,1.129095,2.1175,0.94979,1.5336450000000001,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761436800000,2025-10-26 23:59:59.999,ASTER,1d,1.139,1.1624,1.1839,1.1321,4197875.0,3360,ASTER,1.1839,0.94979,1.066845,1.2774,0.94979,1.1135950000000001,2.1175,0.94979,1.5336450000000001,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761523200000,2025-10-27 23:59:59.999,ASTER,1d,1.1481,1.1591,1.1662,1.1434,8417505.0,7780,ASTER,1.1839,0.94979,1.066845,1.199,0.94979,1.074395,2.1129,0.94979,1.531345,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761609600000,2025-10-28 23:59:59.999,ASTER,1d,1.0812,1.0748,1.084,1.0706,743275.0,1457,ASTER,1.1839,1.0706,1.12725,1.199,0.94979,1.074395,1.9288,0.94979,1.439295,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761696000000,2025-10-29 23:59:59.999,ASTER,1d,1.0729,1.0745,1.0838,1.0568,3281600.0,2770,ASTER,1.1839,1.0568,1.12035,1.199,0.94979,1.074395,1.7262,0.94979,1.337995,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761782400000,2025-10-30 23:59:59.999,ASTER,1d,1.0241,1.0218,1.0274,1.0106,1698745.0,2100,ASTER,1.1839,1.0106,1.0972499999999998,1.1839,0.94979,1.066845,1.5081,0.94979,1.228945,2.16,0.94979,1.5548950000000001,,,,,,,,,,,,,,,
1761868800000,2025-10-31 23:59:59.999,ASTER,1d,0.92139,0.93166,0.94229,0.9204,2732402.0,2555,ASTER,1.1662,0.9204,1.0433,1.1839,0.9204,1.05215,1.5081,0.9204,1.21425,2.16,0.9204,1.5402,,,,,,,,,,,,,,,
1761955200000,2025-11-01 23:59:59.999,ASTER,1d,0.99283,0.97809,1.0011,0.97705,1070714.0,1047,ASTER,1.084,0.9204,1.0022,1.1839,0.9204,1.05215,1.5081,0.9204,1.21425,2.16,0.9204,1.5402,,,,,,,,,,,,,,,
1762041600000,2025-11-02 23:59:59.999,ASTER,1d,0.96559,0.9613,0.96586,0.9556,652245.0,794,ASTER,1.0838,0.9204,1.0021,1.1839,0.9204,1.05215,1.5081,0.9204,1.21425,2.16,0.9204,1.5402,,,,,,,,,,,,,,,
1762128000000,2025-11-03 23:59:59.999,ASTER,1d,1.2252,1.1668,1.2587,1.1539,17392604.0,13028,ASTER,1.2587,0.9204,1.08955,1.2587,0.9204,1.08955,1.5081,0.9204,1.21425,2.1175,0.9204,1.51895,,,,,,,,,,,,,,,
1762214400000,2025-11-04 23:59:59.999,ASTER,1d,0.91164,0.92151,0.92688,0.88992,8990530.0,8954,ASTER,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.3084,0.88992,1.09916,2.1175,0.88992,1.50371,,,,,,,,,,,,,,,
1762300800000,2025-11-05 23:59:59.999,ASTER,1d,0.9737,0.98179,0.99114,0.93116,10413821.0,7778,ASTER,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.2774,0.88992,1.08366,2.1175,0.88992,1.50371,,,,,,,,,,,,,,,
1762387200000,2025-11-06 23:59:59.999,ASTER,1d,1.0693,1.0855,1.0959,1.0419,6214580.0,6338,ASTER,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,2.1129,0.88992,1.50141,,,,,,,,,,,,,,,
1762473600000,2025-11-07 23:59:59.999,ASTER,1d,1.0168,1.0141,1.0422,1.0002,2050553.0,3233,ASTER,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.9288,0.88992,1.40936,,,,,,,,,,,,,,,
1762560000000,2025-11-08 23:59:59.999,ASTER,1d,1.1421,1.1147,1.1512,1.0899,4993795.0,5447,ASTER,1.1512,0.88992,1.0205600000000001,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.7262,0.88992,1.30806,,,,,,,,,,,,,,,
1762646400000,2025-11-09 23:59:59.999,ASTER,1d,1.039,1.0343,1.04,1.0185,1133985.0,1584,ASTER,1.1512,0.93116,1.04118,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.5081,0.88992,1.19901,,,,,,,,,,,,,,,
1762732800000,2025-11-10 23:59:59.999,ASTER,1d,1.1017,1.1372,1.146,1.0962,6905194.0,7170,ASTER,1.1512,1.0002,1.0756999999999999,1.2587,0.88992,1.07431,1.2587,0.88992,1.07431,1.5081,0.88992,1.19901,,,,,,,,,,,,,,,
