t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1746576000000,2025-05-07 23:59:59.999,SYRUP,1d,0.218,0.22445,0.25166,0.1949,0.0,0,SYRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746662400000,2025-05-08 23:59:59.999,SYRUP,1d,0.22445,0.22651,0.24463,0.20534,0.0,0,SYRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746748800000,2025-05-09 23:59:59.999,SYRUP,1d,0.2265,0.24466,0.24999,0.21447,0.0,0,SYRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746835200000,2025-05-10 23:59:59.999,SYRUP,1d,0.24444,0.28601,0.30103,0.23415,0.0,0,SYRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746921600000,2025-05-11 23:59:59.999,SYRUP,1d,0.28611,0.27317,0.32458,0.26001,0.0,0,SYRUP,0.32458,0.1949,0.25973999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1747008000000,2025-05-12 23:59:59.999,SYRUP,1d,0.27316,0.24676,0.28747,0.23113,0.0,0,SYRUP,0.32458,0.20534,0.26496,,,,,,,,,,,,,,,,,,,,,,,,
1747094400000,2025-05-13 23:59:59.999,SYRUP,1d,0.24666,0.27216,0.27333,0.2336,0.0,0,SYRUP,0.32458,0.21447,0.269525,,,,,,,,,,,,,,,,,,,,,,,,
1747180800000,2025-05-14 23:59:59.999,SYRUP,1d,0.27213,0.31331,0.32269,0.26418,0.0,0,SYRUP,0.32458,0.23113,0.27785499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1747267200000,2025-05-15 23:59:59.999,SYRUP,1d,0.31315,0.32641,0.33154,0.26129,0.0,0,SYRUP,0.33154,0.23113,0.281335,,,,,,,,,,,,,,,,,,,,,,,,
1747353600000,2025-05-16 23:59:59.999,SYRUP,1d,0.32635,0.33877,0.35895,0.31767,0.0,0,SYRUP,0.35895,0.23113,0.29503999999999997,0.35895,0.1949,0.276925,,,,,,,,,,,,,,,,,,,,,
1747440000000,2025-05-17 23:59:59.999,SYRUP,1d,0.33874,0.34859,0.38376,0.32347,0.0,0,SYRUP,0.38376,0.2336,0.30868,0.38376,0.20534,0.29455,,,,,,,,,,,,,,,,,,,,,
1747526400000,2025-05-18 23:59:59.999,SYRUP,1d,0.34858,0.36613,0.385,0.34263,0.0,0,SYRUP,0.385,0.26129,0.323145,0.385,0.21447,0.299735,,,,,,,,,,,,,,,,,,,,,
1747612800000,2025-05-19 23:59:59.999,SYRUP,1d,0.36601,0.33417,0.36617,0.31082,0.0,0,SYRUP,0.385,0.26129,0.323145,0.385,0.23113,0.30806500000000003,,,,,,,,,,,,,,,,,,,,,
1747699200000,2025-05-20 23:59:59.999,SYRUP,1d,0.33418,0.35946,0.38271,0.33157,0.0,0,SYRUP,0.385,0.31082,0.34791,0.385,0.23113,0.30806500000000003,,,,,,,,,,,,,,,,,,,,,
1747785600000,2025-05-21 23:59:59.999,SYRUP,1d,0.35944,0.34091,0.36248,0.336,0.0,0,SYRUP,0.385,0.31082,0.34791,0.385,0.23113,0.30806500000000003,,,,,,,,,,,,,,,,,,,,,
1747872000000,2025-05-22 23:59:59.999,SYRUP,1d,0.34091,0.38508,0.4165,0.3385,0.0,0,SYRUP,0.4165,0.31082,0.36366,0.4165,0.2336,0.32505,,,,,,,,,,,,,,,,,,,,,
1747958400000,2025-05-23 23:59:59.999,SYRUP,1d,0.38509,0.38682,0.40999,0.3645,0.0,0,SYRUP,0.4165,0.31082,0.36366,0.4165,0.26129,0.338895,,,,,,,,,,,,,,,,,,,,,
