t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1755907200000,2025-08-23 23:59:59.999,WLFI,1d,0.435,0.30103,0.44,0.26026,297379959.0,97393,WLFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755993600000,2025-08-24 23:59:59.999,WLFI,1d,0.30095,0.28821,0.30776,0.27324,30609805.0,10069,WLFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756080000000,2025-08-25 23:59:59.999,WLFI,1d,0.22926,0.22236,0.23691,0.22043,15732481.0,5176,WLFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756166400000,2025-08-26 23:59:59.999,WLFI,1d,0.23622,0.24713,0.25,0.22699,28033267.0,8073,WLFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756252800000,2025-08-27 23:59:59.999,WLFI,1d,0.27742,0.28611,0.29099,0.27027,28239227.0,7586,WLFI,0.44,0.22043,0.330215,,,,,,,,,,,,,,,,,,,,,,,,
1756339200000,2025-08-28 23:59:59.999,WLFI,1d,0.28999,0.29199,0.2926,0.28164,3407228.0,3835,WLFI,0.30776,0.22043,0.26409499999999997,,,,,,,,,,,,,,,,,,,,,,,,
1756425600000,2025-08-29 23:59:59.999,WLFI,1d,0.31408,0.33333,0.33566,0.31376,7012747.0,4073,WLFI,0.33566,0.22043,0.278045,,,,,,,,,,,,,,,,,,,,,,,,
1756512000000,2025-08-30 23:59:59.999,WLFI,1d,0.29192,0.27983,0.29658,0.27738,4791519.0,4851,WLFI,0.33566,0.22699,0.281325,,,,,,,,,,,,,,,,,,,,,,,,
1756598400000,2025-08-31 23:59:59.999,WLFI,1d,0.29108,0.31098,0.321,0.28599,20628874.0,10579,WLFI,0.33566,0.27027,0.30296500000000004,,,,,,,,,,,,,,,,,,,,,,,,
1756684800000,2025-09-01 23:59:59.999,WLFI,1d,0.3264,0.36515,0.3659,0.324,23367521.0,15036,WLFI,0.3659,0.27738,0.32164000000000004,0.44,0.22043,0.330215,,,,,,,,,,,,,,,,,,,,,
1756771200000,2025-09-02 23:59:59.999,WLFI,1d,0.23349,0.24038,0.25224,0.22889,197278381.0,52842,WLFI,0.3659,0.22889,0.297395,0.3659,0.22043,0.293165,,,,,,,,,,,,,,,,,,,,,
1756857600000,2025-09-03 23:59:59.999,WLFI,1d,0.22724,0.22725,0.22945,0.22212,24081488.0,5763,WLFI,0.3659,0.22212,0.29401,0.3659,0.22043,0.293165,,,,,,,,,,,,,,,,,,,,,
1756944000000,2025-09-04 23:59:59.999,WLFI,1d,0.21734,0.21707,0.21882,0.21491,9726617.0,2853,WLFI,0.3659,0.21491,0.290405,0.3659,0.21491,0.290405,,,,,,,,,,,,,,,,,,,,,
1757030400000,2025-09-05 23:59:59.999,WLFI,1d,0.18639,0.18304,0.18814,0.18073,44708834.0,6911,WLFI,0.3659,0.18073,0.273315,0.3659,0.18073,0.273315,,,,,,,,,,,,,,,,,,,,,
1757116800000,2025-09-06 23:59:59.999,WLFI,1d,0.1811,0.18343,0.18444,0.18018,21647924.0,3441,WLFI,0.25224,0.18018,0.21621,0.3659,0.18018,0.27304,,,,,,,,,,,,,,,,,,,,,
1757203200000,2025-09-07 23:59:59.999,WLFI,1d,0.21593,0.22563,0.22865,0.21433,112845670.0,16250,WLFI,0.22945,0.18018,0.204815,0.3659,0.18018,0.27304,,,,,,,,,,,,,,,,,,,,,
1757289600000,2025-09-08 23:59:59.999,WLFI,1d,0.22509,0.23078,0.23296,0.22377,22186432.0,3385,WLFI,0.23296,0.18018,0.20657,0.3659,0.18018,0.27304,,,,,,,,,,,,,,,,,,,,,
