t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1737590400000,2025-01-23 23:59:59.999,VINE,1d,0.28679,0.17511,0.33657,0.15392,161837866.0,60670,VINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,VINE,1d,0.17474,0.13053,0.3,0.10681,467627590.0,137966,VINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,VINE,1d,0.13085,0.38843,0.43208,0.11431,878938147.0,265568,VINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,VINE,1d,0.38761,0.32104,0.47273,0.30658,482096003.0,207382,VINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,VINE,1d,0.32082,0.25797,0.33404,0.23347,391249125.0,146657,VINE,0.47273,0.10681,0.28976999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,VINE,1d,0.25835,0.25339,0.2861,0.22221,234819733.0,67384,VINE,0.47273,0.10681,0.28976999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,VINE,1d,0.25398,0.29887,0.32594,0.23573,258904038.0,88535,VINE,0.47273,0.11431,0.29352,,,,,,,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,VINE,1d,0.29935,0.22809,0.30114,0.22578,155384153.0,52285,VINE,0.47273,0.22221,0.34747,,,,,,,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,VINE,1d,0.22778,0.15773,0.22859,0.15284,283491225.0,57283,VINE,0.33404,0.15284,0.24344,,,,,,,,,,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,VINE,1d,0.15756,0.18358,0.19197,0.14361,300629269.0,53861,VINE,0.32594,0.14361,0.234775,0.47273,0.10681,0.28976999999999997,,,,,,,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,VINE,1d,0.18358,0.14757,0.20027,0.13821,240737382.0,48954,VINE,0.32594,0.13821,0.232075,0.47273,0.10681,0.28976999999999997,,,,,,,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,VINE,1d,0.14771,0.14577,0.15654,0.10735,332937529.0,42004,VINE,0.30114,0.10735,0.204245,0.47273,0.10735,0.29003999999999996,,,,,,,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,VINE,1d,0.14582,0.12872,0.15894,0.11879,173491038.0,32978,VINE,0.22859,0.10735,0.16797,0.47273,0.10735,0.29003999999999996,,,,,,,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,VINE,1d,0.12887,0.14059,0.17921,0.12833,223520467.0,47387,VINE,0.20027,0.10735,0.15381,0.33404,0.10735,0.220695,,,,,,,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,VINE,1d,0.14049,0.1273,0.1565,0.1255,129456452.0,32470,VINE,0.20027,0.10735,0.15381,0.32594,0.10735,0.216645,,,,,,,,,,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,VINE,1d,0.12713,0.10285,0.1365,0.10145,186109609.0,22108,VINE,0.17921,0.10145,0.14033,0.32594,0.10145,0.213695,,,,,,,,,,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,VINE,1d,0.10284,0.12051,0.13933,0.097175,316128537.0,36951,VINE,0.17921,0.097175,0.1381925,0.30114,0.097175,0.19915750000000002,,,,,,,,,,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,VINE,1d,0.12073,0.10717,0.12946,0.10329,114213102.0,18325,VINE,0.17921,0.097175,0.1381925,0.22859,0.097175,0.16288249999999999,,,,,,,,,,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,VINE,1d,0.10743,0.08149,0.11117,0.078238,310559161.0,28003,VINE,0.1565,0.078238,0.117369,0.20027,0.078238,0.139254,,,,,,,,,,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,VINE,1d,0.08145,0.07175,0.084333,0.06914,222027940.0,17519,VINE,0.13933,0.06914,0.104235,0.20027,0.06914,0.134705,0.47273,0.06914,0.270935,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,VINE,1d,0.071337,0.068322,0.073371,0.06126,207378586.0,14029,VINE,0.13933,0.06126,0.10029500000000001,0.17921,0.06126,0.12023500000000001,0.47273,0.06126,0.266995,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,VINE,1d,0.068,0.064191,0.0719,0.058864,167723299.0,10448,VINE,0.12946,0.058864,0.094162,0.17921,0.058864,0.119037,0.47273,0.058864,0.265797,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,VINE,1d,0.064314,0.067162,0.076667,0.064081,114321150.0,11316,VINE,0.11117,0.058864,0.08501700000000001,0.17921,0.058864,0.119037,0.47273,0.058864,0.265797,,,,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,VINE,1d,0.067146,0.05679,0.0674,0.055565,107191867.0,7968,VINE,0.084333,0.055565,0.06994900000000001,0.1565,0.055565,0.1060325,0.33404,0.055565,0.1948025,,,,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,VINE,1d,0.056885,0.055826,0.058319,0.053965,86999245.0,5801,VINE,0.076667,0.053965,0.065316,0.13933,0.053965,0.0966475,0.32594,0.053965,0.1899525,,,,,,,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,VINE,1d,0.05577,0.04865,0.056652,0.047559,431463362.0,12594,VINE,0.076667,0.047559,0.062113,0.13933,0.047559,0.0934445,0.32594,0.047559,0.1867495,,,,,,,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,VINE,1d,0.048645,0.042512,0.049762,0.040604,269676461.0,12098,VINE,0.076667,0.040604,0.0586355,0.12946,0.040604,0.085032,0.30114,0.040604,0.17087200000000002,,,,,,,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,VINE,1d,0.042585,0.032024,0.044132,0.030208,358360072.0,17092,VINE,0.0674,0.030208,0.048804,0.11117,0.030208,0.070689,0.22859,0.030208,0.129399,,,,,,,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,VINE,1d,0.03196,0.03248,0.037903,0.029094,561063459.0,22654,VINE,0.058319,0.029094,0.0437065,0.084333,0.029094,0.0567135,0.20027,0.029094,0.114682,,,,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,VINE,1d,0.032313,0.0342,0.03875,0.028997,465311132.0,20312,VINE,0.056652,0.028997,0.0428245,0.076667,0.028997,0.052832,0.20027,0.028997,0.1146335,0.47273,0.028997,0.2508635,,,,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,VINE,1d,0.034221,0.042104,0.053856,0.033818,525255469.0,36412,VINE,0.053856,0.028997,0.0414265,0.076667,0.028997,0.052832,0.17921,0.028997,0.1041035,0.47273,0.028997,0.2508635,,,,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,VINE,1d,0.042217,0.037179,0.043011,0.034282,196724551.0,9371,VINE,0.053856,0.028997,0.0414265,0.076667,0.028997,0.052832,0.17921,0.028997,0.1041035,0.47273,0.028997,0.2508635,,,,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,VINE,1d,0.037172,0.031801,0.038465,0.030651,212099235.0,7728,VINE,0.053856,0.028997,0.0414265,0.0674,0.028997,0.0481985,0.17921,0.028997,0.1041035,0.47273,0.028997,0.2508635,,,,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,VINE,1d,0.031758,0.03589,0.038157,0.030876,167118605.0,9257,VINE,0.053856,0.028997,0.0414265,0.058319,0.028997,0.043658,0.1565,0.028997,0.0927485,0.33404,0.028997,0.1815185,,,,,,,,,,,,,,,
1740528000000,2025-02-26 23:59:59.999,VINE,1d,0.03591,0.03979,0.041999,0.03488,78197085.0,6251,VINE,0.053856,0.030651,0.0422535,0.056652,0.028997,0.0428245,0.13933,0.028997,0.0841635,0.32594,0.028997,0.1774685,,,,,,,,,,,,,,,
1740614400000,2025-02-27 23:59:59.999,VINE,1d,0.03988,0.041996,0.048671,0.039668,146061209.0,14451,VINE,0.048671,0.030651,0.039661,0.053856,0.028997,0.0414265,0.13933,0.028997,0.0841635,0.32594,0.028997,0.1774685,,,,,,,,,,,,,,,
1740700800000,2025-02-28 23:59:59.999,VINE,1d,0.042026,0.05027,0.053652,0.038811,107349017.0,11210,VINE,0.053652,0.030651,0.0421515,0.053856,0.028997,0.0414265,0.12946,0.028997,0.0792285,0.30114,0.028997,0.1650685,,,,,,,,,,,,,,,
1740787200000,2025-03-01 23:59:59.999,VINE,1d,0.050312,0.042338,0.05136,0.040096,65900881.0,7344,VINE,0.053652,0.030876,0.042263999999999996,0.053856,0.028997,0.0414265,0.11117,0.028997,0.0700835,0.22859,0.028997,0.1287935,,,,,,,,,,,,,,,
