t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1735776000000,2025-01-02 23:59:59.999,GRIFFAIN,1d,0.40692,0.4283,0.43199,0.36316,0.0,0,GRIFFAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735862400000,2025-01-03 23:59:59.999,GRIFFAIN,1d,0.42857,0.46277,0.48896,0.37597,0.0,0,GRIFFAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735948800000,2025-01-04 23:59:59.999,GRIFFAIN,1d,0.46274,0.4353,0.46737,0.4111,0.0,0,GRIFFAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736035200000,2025-01-05 23:59:59.999,GRIFFAIN,1d,0.43539,0.38613,0.45234,0.37701,0.0,0,GRIFFAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736121600000,2025-01-06 23:59:59.999,GRIFFAIN,1d,0.38616,0.48328,0.5298,0.3775,0.0,0,GRIFFAIN,0.5298,0.36316,0.44648,,,,,,,,,,,,,,,,,,,,,,,,
1736208000000,2025-01-07 23:59:59.999,GRIFFAIN,1d,0.48656,0.43639,0.50868,0.4349,15398400.0,16827,GRIFFAIN,0.5298,0.37597,0.45288500000000004,,,,,,,,,,,,,,,,,,,,,,,,
1736294400000,2025-01-08 23:59:59.999,GRIFFAIN,1d,0.43647,0.41362,0.46273,0.36899,16040286.0,13468,GRIFFAIN,0.5298,0.36899,0.449395,,,,,,,,,,,,,,,,,,,,,,,,
1736380800000,2025-01-09 23:59:59.999,GRIFFAIN,1d,0.41153,0.34973,0.42784,0.33229,10150103.0,7545,GRIFFAIN,0.5298,0.33229,0.431045,,,,,,,,,,,,,,,,,,,,,,,,
1736467200000,2025-01-10 23:59:59.999,GRIFFAIN,1d,0.34943,0.41071,0.43529,0.34515,26403553.0,21560,GRIFFAIN,0.5298,0.33229,0.431045,,,,,,,,,,,,,,,,,,,,,,,,
1736553600000,2025-01-11 23:59:59.999,GRIFFAIN,1d,0.40996,0.38853,0.41628,0.37761,9073646.0,8488,GRIFFAIN,0.50868,0.33229,0.420485,0.5298,0.33229,0.431045,,,,,,,,,,,,,,,,,,,,,
1736640000000,2025-01-12 23:59:59.999,GRIFFAIN,1d,0.38861,0.338,0.38861,0.33715,7916216.0,6175,GRIFFAIN,0.46273,0.33229,0.39751,0.5298,0.33229,0.431045,,,,,,,,,,,,,,,,,,,,,
1736726400000,2025-01-13 23:59:59.999,GRIFFAIN,1d,0.338,0.36748,0.37037,0.28894,17509162.0,12485,GRIFFAIN,0.43529,0.28894,0.36211499999999996,0.5298,0.28894,0.40937,,,,,,,,,,,,,,,,,,,,,
1736812800000,2025-01-14 23:59:59.999,GRIFFAIN,1d,0.36726,0.45026,0.46903,0.35784,12878674.0,9959,GRIFFAIN,0.46903,0.28894,0.378985,0.5298,0.28894,0.40937,,,,,,,,,,,,,,,,,,,,,
1736899200000,2025-01-15 23:59:59.999,GRIFFAIN,1d,0.45073,0.56022,0.57834,0.414,18951434.0,14116,GRIFFAIN,0.57834,0.28894,0.43363999999999997,0.57834,0.28894,0.43363999999999997,,,,,,,,,,,,,,,,,,,,,
1736985600000,2025-01-16 23:59:59.999,GRIFFAIN,1d,0.55921,0.51789,0.588,0.51444,14960352.0,13899,GRIFFAIN,0.588,0.28894,0.43846999999999997,0.588,0.28894,0.43846999999999997,,,,,,,,,,,,,,,,,,,,,
1737072000000,2025-01-17 23:59:59.999,GRIFFAIN,1d,0.51857,0.49043,0.58436,0.46176,10755969.0,10439,GRIFFAIN,0.588,0.28894,0.43846999999999997,0.588,0.28894,0.43846999999999997,,,,,,,,,,,,,,,,,,,,,
1737158400000,2025-01-18 23:59:59.999,GRIFFAIN,1d,0.49058,0.48586,0.52951,0.38272,29421399.0,22990,GRIFFAIN,0.588,0.35784,0.47292,0.588,0.28894,0.43846999999999997,,,,,,,,,,,,,,,,,,,,,
1737244800000,2025-01-19 23:59:59.999,GRIFFAIN,1d,0.48566,0.49103,0.625,0.43554,51927376.0,45302,GRIFFAIN,0.625,0.38272,0.50386,0.625,0.28894,0.45697,,,,,,,,,,,,,,,,,,,,,
1737331200000,2025-01-20 23:59:59.999,GRIFFAIN,1d,0.49104,0.54205,0.54914,0.4178,33533082.0,28243,GRIFFAIN,0.625,0.38272,0.50386,0.625,0.28894,0.45697,,,,,,,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,GRIFFAIN,1d,0.5416,0.54926,0.58591,0.454,24161132.0,19563,GRIFFAIN,0.625,0.38272,0.50386,0.625,0.28894,0.45697,0.625,0.28894,0.45697,,,,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,GRIFFAIN,1d,0.54945,0.52008,0.64459,0.5124,33795938.0,32665,GRIFFAIN,0.64459,0.38272,0.513655,0.64459,0.28894,0.466765,0.64459,0.28894,0.466765,,,,,,,,,,,,,,,,,,
1737590400000,2025-01-23 23:59:59.999,GRIFFAIN,1d,0.52095,0.4953,0.56046,0.47809,21620468.0,19531,GRIFFAIN,0.64459,0.4178,0.531195,0.64459,0.35784,0.501215,0.64459,0.28894,0.466765,,,,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,GRIFFAIN,1d,0.49808,0.42732,0.5156,0.42424,16045209.0,15549,GRIFFAIN,0.64459,0.4178,0.531195,0.64459,0.38272,0.513655,0.64459,0.28894,0.466765,,,,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,GRIFFAIN,1d,0.42726,0.42765,0.46937,0.41696,17730160.0,15350,GRIFFAIN,0.64459,0.41696,0.530775,0.64459,0.38272,0.513655,0.64459,0.28894,0.466765,,,,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,GRIFFAIN,1d,0.42749,0.35579,0.44545,0.35438,26304319.0,21137,GRIFFAIN,0.64459,0.35438,0.49948499999999996,0.64459,0.35438,0.49948499999999996,0.64459,0.28894,0.466765,,,,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,GRIFFAIN,1d,0.35531,0.31385,0.36299,0.26796,59289560.0,31436,GRIFFAIN,0.56046,0.26796,0.41420999999999997,0.64459,0.26796,0.456275,0.64459,0.26796,0.456275,,,,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,GRIFFAIN,1d,0.31378,0.24322,0.33952,0.23448,37892389.0,18594,GRIFFAIN,0.5156,0.23448,0.37504,0.64459,0.23448,0.439535,0.64459,0.23448,0.439535,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,GRIFFAIN,1d,0.24482,0.28106,0.3142,0.23001,54265964.0,24866,GRIFFAIN,0.46937,0.23001,0.34969,0.64459,0.23001,0.4373,0.64459,0.23001,0.4373,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,GRIFFAIN,1d,0.28095,0.225,0.28095,0.22098,51323866.0,23483,GRIFFAIN,0.44545,0.22098,0.33321500000000004,0.64459,0.22098,0.432785,0.64459,0.22098,0.432785,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,GRIFFAIN,1d,0.22525,0.2063,0.22845,0.19073,43789854.0,18516,GRIFFAIN,0.36299,0.19073,0.27686,0.64459,0.19073,0.41766000000000003,0.64459,0.19073,0.41766000000000003,0.64459,0.19073,0.41766000000000003,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,GRIFFAIN,1d,0.20665,0.15996,0.22028,0.15309,60379194.0,19141,GRIFFAIN,0.33952,0.15309,0.246305,0.56046,0.15309,0.35677499999999995,0.64459,0.15309,0.39884,0.64459,0.15309,0.39884,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,GRIFFAIN,1d,0.15911,0.14578,0.17648,0.13187,41547147.0,14813,GRIFFAIN,0.3142,0.13187,0.22303499999999998,0.5156,0.13187,0.323735,0.64459,0.13187,0.38822999999999996,0.64459,0.13187,0.38822999999999996,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,GRIFFAIN,1d,0.14578,0.24133,0.24415,0.09923,86223321.0,29961,GRIFFAIN,0.28095,0.09923,0.19008999999999998,0.46937,0.09923,0.2843,0.64459,0.09923,0.37191,0.64459,0.09923,0.37191,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,GRIFFAIN,1d,0.23953,0.2142,0.28074,0.19861,120287248.0,42070,GRIFFAIN,0.28074,0.09923,0.189985,0.44545,0.09923,0.27234,0.64459,0.09923,0.37191,0.64459,0.09923,0.37191,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,GRIFFAIN,1d,0.21372,0.1644,0.22573,0.16299,56769590.0,20822,GRIFFAIN,0.28074,0.09923,0.189985,0.36299,0.09923,0.23110999999999998,0.64459,0.09923,0.37191,0.64459,0.09923,0.37191,,,,,,,,,,,,,,,
