t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1731283200000,2024-11-11 23:59:59.999,PNUT,1d,0.43052,0.39101,0.4491,0.328,0.0,0,PNUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731369600000,2024-11-12 23:59:59.999,PNUT,1d,0.39096,0.4427,0.5509,0.3802,0.0,0,PNUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731456000000,2024-11-13 23:59:59.999,PNUT,1d,0.44276,1.69171,1.8653,0.41524,0.0,0,PNUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731542400000,2024-11-14 23:59:59.999,PNUT,1d,2.0512,1.7634,2.2992,1.6337,7948242.5,15987,PNUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731628800000,2024-11-15 23:59:59.999,PNUT,1d,1.7634,1.7349,2.196,1.55,11239615.4,18537,PNUT,2.2992,0.328,1.3135999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1731715200000,2024-11-16 23:59:59.999,PNUT,1d,1.7351,1.6875,1.948,1.6255,7531214.0,12996,PNUT,2.2992,0.3802,1.3397,,,,,,,,,,,,,,,,,,,,,,,,
1731801600000,2024-11-17 23:59:59.999,PNUT,1d,1.6891,1.7924,1.8916,1.4637,12943423.2,16896,PNUT,2.2992,0.41524,1.3572199999999999,,,,,,,,,,,,,,,,,,,,,,,,
1731888000000,2024-11-18 23:59:59.999,PNUT,1d,1.7942,1.602,1.9396,1.5343,9287955.1,14418,PNUT,2.2992,1.4637,1.88145,,,,,,,,,,,,,,,,,,,,,,,,
1731974400000,2024-11-19 23:59:59.999,PNUT,1d,1.6015,1.7033,1.8733,1.5115,10304270.4,13664,PNUT,2.196,1.4637,1.82985,,,,,,,,,,,,,,,,,,,,,,,,
1732060800000,2024-11-20 23:59:59.999,PNUT,1d,1.7055,1.4289,1.7261,1.4125,7250221.8,9428,PNUT,1.948,1.4125,1.68025,2.2992,0.328,1.3135999999999999,,,,,,,,,,,,,,,,,,,,,
