t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1760054400000,2025-10-10 23:59:59.999,MET,1d,1.8,1.5951,2.4,0.78947,3914724.0,14069,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760140800000,2025-10-11 23:59:59.999,MET,1d,1.5997,1.3884,1.6238,1.3638,156196.0,971,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760227200000,2025-10-12 23:59:59.999,MET,1d,1.5497,1.4768,1.5581,1.42,120891.0,500,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760313600000,2025-10-13 23:59:59.999,MET,1d,1.4103,1.3988,1.4132,1.3832,38565.0,319,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760400000000,2025-10-14 23:59:59.999,MET,1d,1.4253,1.5315,1.5342,1.4253,22053.0,94,MET,2.4,0.78947,1.594735,,,,,,,,,,,,,,,,,,,,,,,,
1760486400000,2025-10-15 23:59:59.999,MET,1d,1.4967,1.5037,1.5204,1.4694,5495.0,36,MET,1.6238,1.3638,1.4937999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1760572800000,2025-10-16 23:59:59.999,MET,1d,1.3189,1.3979,1.3979,1.2731,29767.0,166,MET,1.5581,1.2731,1.4156,,,,,,,,,,,,,,,,,,,,,,,,
1760659200000,2025-10-17 23:59:59.999,MET,1d,1.1442,1.1501,1.1642,1.119,59089.0,165,MET,1.5342,1.119,1.3266,,,,,,,,,,,,,,,,,,,,,,,,
1760745600000,2025-10-18 23:59:59.999,MET,1d,0.96548,0.95081,0.97862,0.94808,55846.0,439,MET,1.5342,0.94808,1.2411400000000001,,,,,,,,,,,,,,,,,,,,,,,,
1760832000000,2025-10-19 23:59:59.999,MET,1d,0.95515,0.95552,0.96367,0.9292,25301.0,340,MET,1.5204,0.9292,1.2248,2.4,0.78947,1.594735,,,,,,,,,,,,,,,,,,,,,
