t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1765152000000,2025-12-08 23:59:59.999,STABLE,1d,0.021325,0.02143,0.024388,0.018388,520703378.0,27414,STABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765238400000,2025-12-09 23:59:59.999,STABLE,1d,0.021493,0.019414,0.022492,0.018896,51297949.0,2500,STABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765324800000,2025-12-10 23:59:59.999,STABLE,1d,0.017874,0.017586,0.01817,0.017154,15346583.0,968,STABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765411200000,2025-12-11 23:59:59.999,STABLE,1d,0.01777,0.017623,0.01838,0.017141,20273205.0,1185,STABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765497600000,2025-12-12 23:59:59.999,STABLE,1d,0.014758,0.014431,0.014758,0.014018,23739919.0,1229,STABLE,0.024388,0.014018,0.019202999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1765584000000,2025-12-13 23:59:59.999,STABLE,1d,0.015706,0.0153,0.016602,0.014995,23026922.0,1072,STABLE,0.022492,0.014018,0.018255,,,,,,,,,,,,,,,,,,,,,,,,
1765670400000,2025-12-14 23:59:59.999,STABLE,1d,0.015367,0.0153,0.015614,0.015179,8858877.0,461,STABLE,0.01838,0.014018,0.016198999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1765756800000,2025-12-15 23:59:59.999,STABLE,1d,0.014742,0.015395,0.01613,0.014628,14770206.0,827,STABLE,0.01838,0.014018,0.016198999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1765843200000,2025-12-16 23:59:59.999,STABLE,1d,0.015068,0.01508,0.015259,0.014844,10181948.0,471,STABLE,0.016602,0.014018,0.015309999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1765929600000,2025-12-17 23:59:59.999,STABLE,1d,0.014419,0.014242,0.014443,0.014109,2647957.0,252,STABLE,0.016602,0.014109,0.0153555,0.024388,0.014018,0.019202999999999998,,,,,,,,,,,,,,,,,,,,,
1766016000000,2025-12-18 23:59:59.999,STABLE,1d,0.011348,0.01062,0.011359,0.010311,42049584.0,1293,STABLE,0.01613,0.010311,0.0132205,0.022492,0.010311,0.0164015,,,,,,,,,,,,,,,,,,,,,
1766102400000,2025-12-19 23:59:59.999,STABLE,1d,0.011146,0.010671,0.011243,0.010635,9627306.0,454,STABLE,0.01613,0.010311,0.0132205,0.01838,0.010311,0.0143455,,,,,,,,,,,,,,,,,,,,,
