t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1733788800000,2024-12-10 23:59:59.999,ME,1d,5.3579,5.634,5.765,4.1501,3775284.6,26146,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733875200000,2024-12-11 23:59:59.999,ME,1d,5.629,5.4335,7.6604,4.9393,11757598.0,58269,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733961600000,2024-12-12 23:59:59.999,ME,1d,5.4319,4.4904,5.506,4.3755,4497615.7,20303,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734048000000,2024-12-13 23:59:59.999,ME,1d,4.4979,4.2761,4.4989,4.0336,4484932.5,17797,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734134400000,2024-12-14 23:59:59.999,ME,1d,4.2722,3.8937,4.511,3.7462,1873305.7,9544,ME,7.6604,3.7462,5.7033000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1734220800000,2024-12-15 23:59:59.999,ME,1d,3.8917,3.8518,3.9587,3.651,1366622.8,6829,ME,7.6604,3.651,5.6556999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1734307200000,2024-12-16 23:59:59.999,ME,1d,3.8576,3.5481,3.931,3.4975,1144892.0,5682,ME,5.506,3.4975,4.50175,,,,,,,,,,,,,,,,,,,,,,,,
1734393600000,2024-12-17 23:59:59.999,ME,1d,3.5438,3.0375,3.5554,2.981,2262267.4,7754,ME,4.511,2.981,3.746,,,,,,,,,,,,,,,,,,,,,,,,
1734480000000,2024-12-18 23:59:59.999,ME,1d,3.0319,2.7863,3.1908,2.6512,1385514.5,5876,ME,4.511,2.6512,3.5811,,,,,,,,,,,,,,,,,,,,,,,,
1734566400000,2024-12-19 23:59:59.999,ME,1d,2.7956,2.766,2.9639,2.5852,1153456.4,5141,ME,3.9587,2.5852,3.27195,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,,,,,,,
1734652800000,2024-12-20 23:59:59.999,ME,1d,2.7616,3.4915,3.5609,2.7258,2320686.4,8784,ME,3.931,2.5852,3.2580999999999998,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,,,,,,,
1734739200000,2024-12-21 23:59:59.999,ME,1d,3.5084,3.1392,3.6795,3.0752,1521684.5,5898,ME,3.6795,2.5852,3.1323499999999997,5.506,2.5852,4.0456,,,,,,,,,,,,,,,,,,,,,
1734825600000,2024-12-22 23:59:59.999,ME,1d,3.1273,3.0918,3.2088,2.9489,758725.8,2860,ME,3.6795,2.5852,3.1323499999999997,4.511,2.5852,3.5481,,,,,,,,,,,,,,,,,,,,,
1734912000000,2024-12-23 23:59:59.999,ME,1d,3.1037,3.1108,3.1585,2.8349,288004.8,2346,ME,3.6795,2.5852,3.1323499999999997,4.511,2.5852,3.5481,,,,,,,,,,,,,,,,,,,,,
1734998400000,2024-12-24 23:59:59.999,ME,1d,3.0746,3.1876,3.2145,2.9351,508122.3,2845,ME,3.6795,2.7258,3.20265,3.9587,2.5852,3.27195,,,,,,,,,,,,,,,,,,,,,
1735084800000,2024-12-25 23:59:59.999,ME,1d,3.1799,3.4684,3.6695,3.1468,1160669.5,5247,ME,3.6795,2.8349,3.2572,3.931,2.5852,3.2580999999999998,,,,,,,,,,,,,,,,,,,,,
1735171200000,2024-12-26 23:59:59.999,ME,1d,3.4695,3.9341,4.1,3.3182,3250038.7,11469,ME,4.1,2.8349,3.46745,4.1,2.5852,3.3426,,,,,,,,,,,,,,,,,,,,,
1735257600000,2024-12-27 23:59:59.999,ME,1d,3.9308,4.0182,4.26,3.657,2189622.3,8174,ME,4.26,2.8349,3.54745,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,,,,
1735344000000,2024-12-28 23:59:59.999,ME,1d,4.0062,3.4962,4.041,3.4637,1044491.6,6052,ME,4.26,2.9351,3.59755,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,,,,
1735430400000,2024-12-29 23:59:59.999,ME,1d,3.4992,3.4001,3.781,3.3422,1637518.5,4544,ME,4.26,3.1468,3.7034,4.26,2.7258,3.4928999999999997,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,,,,
1735516800000,2024-12-30 23:59:59.999,ME,1d,3.4123,3.1823,3.4736,3.1346,978201.1,3777,ME,4.26,3.1346,3.6973,4.26,2.8349,3.54745,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,,,,
1735603200000,2024-12-31 23:59:59.999,ME,1d,3.1863,3.1067,3.2234,3.0054,596548.0,3425,ME,4.26,3.0054,3.6327,4.26,2.8349,3.54745,5.506,2.5852,4.0456,,,,,,,,,,,,,,,,,,
1735689600000,2025-01-01 23:59:59.999,ME,1d,3.1211,3.1805,3.2,2.962,425296.4,2695,ME,4.041,2.962,3.5015,4.26,2.8349,3.54745,4.511,2.5852,3.5481,,,,,,,,,,,,,,,,,,
1735776000000,2025-01-02 23:59:59.999,ME,1d,3.1663,3.238,3.2794,3.1063,300337.1,2733,ME,3.781,2.962,3.3715,4.26,2.9351,3.59755,4.511,2.5852,3.5481,,,,,,,,,,,,,,,,,,
1735862400000,2025-01-03 23:59:59.999,ME,1d,3.2246,3.3697,3.4045,3.1123,362957.7,2930,ME,3.4736,2.962,3.2178,4.26,2.962,3.6109999999999998,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,
1735948800000,2025-01-04 23:59:59.999,ME,1d,3.3765,3.3551,3.5256,3.2876,197593.6,2599,ME,3.5256,2.962,3.2438000000000002,4.26,2.962,3.6109999999999998,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,
1736035200000,2025-01-05 23:59:59.999,ME,1d,3.3566,3.4519,3.5,3.279,128937.0,2350,ME,3.5256,2.962,3.2438000000000002,4.26,2.962,3.6109999999999998,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,
1736121600000,2025-01-06 23:59:59.999,ME,1d,3.4535,3.3701,3.4548,3.3294,125216.5,2339,ME,3.5256,3.1063,3.31595,4.041,2.962,3.5015,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,
1736208000000,2025-01-07 23:59:59.999,ME,1d,3.3546,3.0176,3.3751,3.0015,278918.1,3333,ME,3.5256,3.0015,3.26355,3.781,2.962,3.3715,4.26,2.5852,3.4226,,,,,,,,,,,,,,,,,,
1736294400000,2025-01-08 23:59:59.999,ME,1d,3.0244,2.8268,3.0291,2.6589,329267.1,3533,ME,3.5256,2.6589,3.09225,3.5256,2.6589,3.09225,4.26,2.6589,3.45945,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,
1736380800000,2025-01-09 23:59:59.999,ME,1d,2.8232,2.6818,2.8245,2.6,827780.0,3859,ME,3.5,2.6,3.05,3.5256,2.6,3.0628,4.26,2.6,3.4299999999999997,7.6604,2.5852,5.1228,,,,,,,,,,,,,,,
1736467200000,2025-01-10 23:59:59.999,ME,1d,2.6815,2.7797,2.8374,2.6601,190407.5,2784,ME,3.4548,2.6,3.0274,3.5256,2.6,3.0628,4.26,2.6,3.4299999999999997,5.506,2.5852,4.0456,,,,,,,,,,,,,,,
1736553600000,2025-01-11 23:59:59.999,ME,1d,2.7836,2.7924,2.8713,2.7221,179345.0,2773,ME,3.3751,2.6,2.98755,3.5256,2.6,3.0628,4.26,2.6,3.4299999999999997,4.511,2.5852,3.5481,,,,,,,,,,,,,,,
