t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,STX,1d,0.65131,0.64346,0.65685,0.63507,429173.1,2741,STX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,STX,1d,0.64375,0.6387,0.65161,0.63678,640659.6,2951,STX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,STX,1d,0.63866,0.63909,0.65315,0.61304,906603.1,3175,STX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,STX,1d,0.63895,0.65598,0.6666,0.63157,773891.2,3328,STX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,STX,1d,0.65717,0.66876,0.69721,0.65515,551621.6,4155,STX,0.69721,0.61304,0.655125,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,STX,1d,0.66918,0.68455,0.6959,0.65017,665462.7,2891,STX,0.69721,0.61304,0.655125,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,STX,1d,0.68455,0.64981,0.71366,0.63539,719424.3,2950,STX,0.71366,0.61304,0.66335,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,STX,1d,0.64966,0.64631,0.65744,0.63893,400469.6,2635,STX,0.71366,0.63157,0.672615,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,STX,1d,0.64632,0.63022,0.64904,0.62376,463709.7,4053,STX,0.71366,0.62376,0.6687099999999999,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,STX,1d,0.62984,0.63758,0.64435,0.61238,597140.1,2981,STX,0.71366,0.61238,0.6630199999999999,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,STX,1d,0.63766,0.63316,0.66389,0.61669,903918.9,3010,STX,0.71366,0.61238,0.6630199999999999,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,STX,1d,0.63293,0.62739,0.6446,0.62596,758617.1,3068,STX,0.66389,0.61238,0.638135,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,STX,1d,0.62787,0.62257,0.6422,0.61483,862986.3,3159,STX,0.66389,0.61238,0.638135,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,STX,1d,0.62288,0.62298,0.62774,0.6176,662519.7,2923,STX,0.66389,0.61238,0.638135,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,STX,1d,0.623,0.62366,0.6356,0.61714,543398.3,2762,STX,0.66389,0.61483,0.6393599999999999,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,STX,1d,0.62287,0.62538,0.63271,0.61751,503604.2,2799,STX,0.6446,0.61483,0.629715,0.71366,0.61238,0.6630199999999999,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,STX,1d,0.62523,0.59223,0.62842,0.56613,716655.9,3006,STX,0.6422,0.56613,0.6041650000000001,0.66389,0.56613,0.6150100000000001,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,STX,1d,0.59213,0.59489,0.59951,0.58542,774762.9,2990,STX,0.6356,0.56613,0.600865,0.66389,0.56613,0.6150100000000001,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,STX,1d,0.59495,0.6056,0.61156,0.58513,903754.9,3086,STX,0.6356,0.56613,0.600865,0.66389,0.56613,0.6150100000000001,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,STX,1d,0.60516,0.5954,0.61052,0.58924,841545.5,2891,STX,0.63271,0.56613,0.5994200000000001,0.66389,0.56613,0.6150100000000001,0.71366,0.56613,0.639895,,,,,,,,,,,,,,,,,,
