t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1733356800000,2024-12-05 23:59:59.999,HYPE,1d,13.207,12.724,14.638,11.3,7108824.13,64222,HYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733443200000,2024-12-06 23:59:59.999,HYPE,1d,12.7,13.848,14.462,11.5,7517231.58,128872,HYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733529600000,2024-12-07 23:59:59.999,HYPE,1d,13.848,14.246,15.314,13.55,6115263.73,95450,HYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733616000000,2024-12-08 23:59:59.999,HYPE,1d,14.23,14.051,14.702,13.516,4241640.59,85159,HYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733702400000,2024-12-09 23:59:59.999,HYPE,1d,14.056,13.598,14.463,12.064,11966218.13,156751,HYPE,15.314,11.3,13.307,,,,,,,,,,,,,,,,,,,,,,,,
1733788800000,2024-12-10 23:59:59.999,HYPE,1d,13.567,13.573,14.5,12.627,7326259.42,119702,HYPE,15.314,11.5,13.407,,,,,,,,,,,,,,,,,,,,,,,,
1733875200000,2024-12-11 23:59:59.999,HYPE,1d,13.56,16.144,16.598,13.06,7191060.37,122290,HYPE,16.598,12.064,14.331,,,,,,,,,,,,,,,,,,,,,,,,
1733961600000,2024-12-12 23:59:59.999,HYPE,1d,16.17,18.079,18.9,15.62,11838349.53,177225,HYPE,18.9,12.064,15.482,,,,,,,,,,,,,,,,,,,,,,,,
1734048000000,2024-12-13 23:59:59.999,HYPE,1d,18.08,19.509,19.74,16.972,8569245.33,163328,HYPE,19.74,12.064,15.902,,,,,,,,,,,,,,,,,,,,,,,,
1734134400000,2024-12-14 23:59:59.999,HYPE,1d,19.51,24.213,24.619,19.05,10740139.27,170643,HYPE,24.619,12.627,18.623,24.619,11.3,17.9595,,,,,,,,,,,,,,,,,,,,,
1734220800000,2024-12-15 23:59:59.999,HYPE,1d,24.212,23.955,25.469,21.1,12746726.96,268310,HYPE,25.469,13.06,19.2645,25.469,11.5,18.4845,,,,,,,,,,,,,,,,,,,,,
1734307200000,2024-12-16 23:59:59.999,HYPE,1d,23.967,27.32,28.698,23.05,11800670.35,271518,HYPE,28.698,15.62,22.159,28.698,12.064,20.381,,,,,,,,,,,,,,,,,,,,,
1734393600000,2024-12-17 23:59:59.999,HYPE,1d,27.329,25.579,29.0,23.643,15060391.27,314560,HYPE,29.0,16.972,22.986,29.0,12.064,20.532,,,,,,,,,,,,,,,,,,,,,
1734480000000,2024-12-18 23:59:59.999,HYPE,1d,25.584,23.251,27.55,22.716,18198646.03,377476,HYPE,29.0,19.05,24.025,29.0,12.064,20.532,,,,,,,,,,,,,,,,,,,,,
1734566400000,2024-12-19 23:59:59.999,HYPE,1d,23.267,24.96,27.23,22.1,21331445.22,443914,HYPE,29.0,21.1,25.05,29.0,12.627,20.8135,,,,,,,,,,,,,,,,,,,,,
1734652800000,2024-12-20 23:59:59.999,HYPE,1d,24.952,29.81,31.97,22.949,22750719.92,462454,HYPE,31.97,22.1,27.035,31.97,13.06,22.515,,,,,,,,,,,,,,,,,,,,,
1734739200000,2024-12-21 23:59:59.999,HYPE,1d,29.815,32.09,35.35,29.0,14786705.25,395653,HYPE,35.35,22.1,28.725,35.35,15.62,25.485,,,,,,,,,,,,,,,,,,,,,
1734825600000,2024-12-22 23:59:59.999,HYPE,1d,32.088,28.554,35.15,27.385,16153811.66,383655,HYPE,35.35,22.1,28.725,35.35,16.972,26.161,,,,,,,,,,,,,,,,,,,,,
1734912000000,2024-12-23 23:59:59.999,HYPE,1d,28.56,28.632,29.939,25.27,23505949.27,571644,HYPE,35.35,22.1,28.725,35.35,19.05,27.200000000000003,,,,,,,,,,,,,,,,,,,,,
1734998400000,2024-12-24 23:59:59.999,HYPE,1d,28.634,29.857,31.626,27.465,11878477.37,329386,HYPE,35.35,22.949,29.149500000000003,35.35,21.1,28.225,35.35,11.3,23.325000000000003,,,,,,,,,,,,,,,,,,
1735084800000,2024-12-25 23:59:59.999,HYPE,1d,29.859,26.629,30.56,26.242,8483311.0,265751,HYPE,35.35,25.27,30.310000000000002,35.35,22.1,28.725,35.35,11.5,23.425,,,,,,,,,,,,,,,,,,
