t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1739404800000,2025-02-13 23:59:59.999,IP,1d,2.5793,1.8758,2.5795,1.7032,27028071.7,82439,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,IP,1d,1.8726,1.9118,2.1927,1.7569,15991713.2,50970,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,IP,1d,1.9085,1.4739,1.9199,1.4293,7300477.3,21478,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,IP,1d,1.4695,1.732,2.0051,1.3523,20022108.8,59933,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,IP,1d,1.7289,1.9064,1.9678,1.6004,10015225.6,31457,IP,2.5795,1.3523,1.9659,,,,,,,,,,,,,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,IP,1d,1.906,1.9552,2.13,1.8261,12937331.5,37924,IP,2.1927,1.3523,1.7725,,,,,,,,,,,,,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,IP,1d,1.9522,2.7826,2.914,1.923,16419650.7,53905,IP,2.914,1.3523,2.13315,,,,,,,,,,,,,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,IP,1d,2.7853,5.6648,9.6419,2.6493,39761369.0,166962,IP,9.6419,1.3523,5.4971,,,,,,,,,,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,IP,1d,5.6628,4.5675,5.8787,4.2146,19466754.9,149139,IP,9.6419,1.6004,5.62115,,,,,,,,,,,,,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,IP,1d,4.5678,4.4039,5.2633,4.237,7537251.099999999,66629,IP,9.6419,1.8261,5.734,9.6419,1.3523,5.4971,,,,,,,,,,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,IP,1d,4.4064,3.9768,4.5566,3.7,3717611.6,28358,IP,9.6419,1.923,5.78245,9.6419,1.3523,5.4971,,,,,,,,,,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,IP,1d,3.9814,4.5177,4.9488,3.7783,6783465.6,44177,IP,9.6419,2.6493,6.1456,9.6419,1.3523,5.4971,,,,,,,,,,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,IP,1d,4.5257,5.715,6.561,4.4276,8206613.5,59698,IP,6.561,3.7,5.1305,9.6419,1.3523,5.4971,,,,,,,,,,,,,,,,,,,,,
