t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,GMT,1d,0.2165,0.2146,0.2177,0.2102,0.0,0,GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,GMT,1d,0.2146,0.2126,0.2174,0.2116,0.0,0,GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,GMT,1d,0.2127,0.2139,0.218,0.2056,0.0,0,GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,GMT,1d,0.214,0.2178,0.2186,0.2109,0.0,0,GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,GMT,1d,0.2177,0.2341,0.2429,0.2172,0.0,0,GMT,0.2429,0.2056,0.22425,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,GMT,1d,0.2341,0.2437,0.2449,0.2231,0.0,0,GMT,0.2449,0.2056,0.22525,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,GMT,1d,0.2436,0.2284,0.2525,0.2168,0.0,0,GMT,0.2525,0.2056,0.22905,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,GMT,1d,0.2284,0.2382,0.262,0.226,0.0,0,GMT,0.262,0.2109,0.23645,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,GMT,1d,0.2383,0.2313,0.2388,0.2295,0.0,0,GMT,0.262,0.2168,0.2394,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,GMT,1d,0.2312,0.2827,0.29,0.2296,0.0,0,GMT,0.29,0.2168,0.25339999999999996,0.29,0.2056,0.2478,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,GMT,1d,0.2826,0.2423,0.295,0.2348,0.0,0,GMT,0.295,0.2168,0.2559,0.295,0.2056,0.25029999999999997,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,GMT,1d,0.2424,0.2337,0.2454,0.2322,0.0,0,GMT,0.295,0.226,0.2605,0.295,0.2056,0.25029999999999997,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,GMT,1d,0.2338,0.2304,0.2392,0.2269,0.0,0,GMT,0.295,0.2269,0.26095,0.295,0.2109,0.25295,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,GMT,1d,0.2305,0.2295,0.2327,0.2265,0.0,0,GMT,0.295,0.2265,0.26075,0.295,0.2168,0.2559,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,GMT,1d,0.2294,0.2253,0.2308,0.2226,0.0,0,GMT,0.295,0.2226,0.2588,0.295,0.2168,0.2559,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,GMT,1d,0.2252,0.2259,0.229,0.2213,0.0,0,GMT,0.2454,0.2213,0.23335,0.295,0.2168,0.2559,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,GMT,1d,0.2258,0.2122,0.2263,0.2031,0.0,0,GMT,0.2392,0.2031,0.22115,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,GMT,1d,0.2122,0.2115,0.2153,0.2101,0.0,0,GMT,0.2327,0.2031,0.21789999999999998,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,GMT,1d,0.2115,0.2119,0.2145,0.2065,0.0,0,GMT,0.2308,0.2031,0.21695,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,GMT,1d,0.212,0.211,0.2137,0.2083,0.0,0,GMT,0.229,0.2031,0.21605000000000002,0.295,0.2031,0.24905,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,GMT,1d,0.2109,0.2137,0.2142,0.2085,0.0,0,GMT,0.2263,0.2031,0.2147,0.2454,0.2031,0.22425,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,GMT,1d,0.2138,0.2165,0.2177,0.213,0.0,0,GMT,0.2177,0.2065,0.2121,0.2392,0.2031,0.22115,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,GMT,1d,0.2165,0.2135,0.2208,0.2072,0.0,0,GMT,0.2208,0.2065,0.21365,0.2327,0.2031,0.21789999999999998,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,GMT,1d,0.2136,0.2114,0.2159,0.2086,0.0,0,GMT,0.2208,0.2072,0.214,0.2308,0.2031,0.21695,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,GMT,1d,0.2114,0.2153,0.2155,0.2043,0.0,0,GMT,0.2208,0.2043,0.21255000000000002,0.229,0.2031,0.21605000000000002,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,GMT,1d,0.2153,0.2081,0.2167,0.2038,0.0,0,GMT,0.2208,0.2038,0.2123,0.2263,0.2031,0.2147,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1691020800000,2023-08-03 23:59:59.999,GMT,1d,0.2081,0.2062,0.2101,0.2045,0.0,0,GMT,0.2208,0.2038,0.2123,0.2208,0.2038,0.2123,0.295,0.2031,0.24905,,,,,,,,,,,,,,,,,,
1691107200000,2023-08-04 23:59:59.999,GMT,1d,0.2062,0.2046,0.2086,0.2017,0.0,0,GMT,0.2167,0.2017,0.2092,0.2208,0.2017,0.21125,0.295,0.2017,0.24835,,,,,,,,,,,,,,,,,,
1691193600000,2023-08-05 23:59:59.999,GMT,1d,0.2046,0.2059,0.2063,0.202,0.0,0,GMT,0.2167,0.2017,0.2092,0.2208,0.2017,0.21125,0.295,0.2017,0.24835,,,,,,,,,,,,,,,,,,
1691280000000,2023-08-06 23:59:59.999,GMT,1d,0.2058,0.2047,0.2096,0.2038,0.0,0,GMT,0.2167,0.2017,0.2092,0.2208,0.2017,0.21125,0.295,0.2017,0.24835,0.295,0.2017,0.24835,,,,,,,,,,,,,,,
1691366400000,2023-08-07 23:59:59.999,GMT,1d,0.2048,0.2039,0.2136,0.1963,0.0,0,GMT,0.2136,0.1963,0.20495000000000002,0.2208,0.1963,0.20855,0.2454,0.1963,0.22085,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691452800000,2023-08-08 23:59:59.999,GMT,1d,0.204,0.2061,0.2094,0.2025,0.0,0,GMT,0.2136,0.1963,0.20495000000000002,0.2208,0.1963,0.20855,0.2392,0.1963,0.21775,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691539200000,2023-08-09 23:59:59.999,GMT,1d,0.2062,0.2044,0.2092,0.2028,0.0,0,GMT,0.2136,0.1963,0.20495000000000002,0.2167,0.1963,0.20650000000000002,0.2327,0.1963,0.2145,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691625600000,2023-08-10 23:59:59.999,GMT,1d,0.2043,0.2037,0.205,0.2022,0.0,0,GMT,0.2136,0.1963,0.20495000000000002,0.2167,0.1963,0.20650000000000002,0.2308,0.1963,0.21355000000000002,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691712000000,2023-08-11 23:59:59.999,GMT,1d,0.2037,0.2033,0.2046,0.2019,0.0,0,GMT,0.2136,0.1963,0.20495000000000002,0.2167,0.1963,0.20650000000000002,0.229,0.1963,0.21265,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691798400000,2023-08-12 23:59:59.999,GMT,1d,0.2033,0.2053,0.2067,0.2031,0.0,0,GMT,0.2094,0.2019,0.20565,0.2136,0.1963,0.20495000000000002,0.2263,0.1963,0.2113,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691884800000,2023-08-13 23:59:59.999,GMT,1d,0.2053,0.2051,0.208,0.2037,0.0,0,GMT,0.2092,0.2019,0.20555,0.2136,0.1963,0.20495000000000002,0.2208,0.1963,0.20855,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1691971200000,2023-08-14 23:59:59.999,GMT,1d,0.205,0.2043,0.2057,0.2022,0.0,0,GMT,0.208,0.2019,0.20495,0.2136,0.1963,0.20495000000000002,0.2208,0.1963,0.20855,0.295,0.1963,0.24564999999999998,,,,,,,,,,,,,,,
1692057600000,2023-08-15 23:59:59.999,GMT,1d,0.2042,0.1929,0.2047,0.1761,0.0,0,GMT,0.208,0.1761,0.19205,0.2136,0.1761,0.19485000000000002,0.2208,0.1761,0.19845000000000002,0.295,0.1761,0.23554999999999998,,,,,,,,,,,,,,,
1692144000000,2023-08-16 23:59:59.999,GMT,1d,0.193,0.1789,0.1934,0.1735,0.0,0,GMT,0.208,0.1735,0.19074999999999998,0.2136,0.1735,0.19355,0.2208,0.1735,0.19715,0.295,0.1735,0.23424999999999999,,,,,,,,,,,,,,,
1692230400000,2023-08-17 23:59:59.999,GMT,1d,0.1788,0.1588,0.1816,0.1426,0.0,0,GMT,0.208,0.1426,0.1753,0.2094,0.1426,0.176,0.2208,0.1426,0.1817,0.2454,0.1426,0.194,,,,,,,,,,,,,,,
1692316800000,2023-08-18 23:59:59.999,GMT,1d,0.1589,0.1638,0.1674,0.1583,0.0,0,GMT,0.2057,0.1426,0.17415,0.2092,0.1426,0.1759,0.2208,0.1426,0.1817,0.2392,0.1426,0.19090000000000001,,,,,,,,,,,,,,,
1692403200000,2023-08-19 23:59:59.999,GMT,1d,0.1639,0.1681,0.1698,0.1635,0.0,0,GMT,0.2047,0.1426,0.17365,0.208,0.1426,0.1753,0.2167,0.1426,0.17965,0.2327,0.1426,0.18764999999999998,,,,,,,,,,,,,,,
1692489600000,2023-08-20 23:59:59.999,GMT,1d,0.1681,0.1679,0.1695,0.166,0.0,0,GMT,0.1934,0.1426,0.16799999999999998,0.208,0.1426,0.1753,0.2167,0.1426,0.17965,0.2308,0.1426,0.1867,,,,,,,,,,,,,,,
