t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1758067200000,2025-09-17 23:59:59.999,STBL,1d,0.18163,0.1318,0.24465,0.114,0.0,0,STBL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758153600000,2025-09-18 23:59:59.999,STBL,1d,0.1318,0.22954,0.23445,0.11935,0.0,0,STBL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758240000000,2025-09-19 23:59:59.999,STBL,1d,0.22954,0.22348,0.2978,0.19061,0.0,0,STBL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758326400000,2025-09-20 23:59:59.999,STBL,1d,0.22344,0.40951,0.48584,0.22081,0.0,0,STBL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758412800000,2025-09-21 23:59:59.999,STBL,1d,0.4096,0.38615,0.553,0.32859,0.0,0,STBL,0.553,0.114,0.3335,,,,,,,,,,,,,,,,,,,,,,,,
1758499200000,2025-09-22 23:59:59.999,STBL,1d,0.36,0.337,0.43643,0.31457,61420322.0,66434,STBL,0.553,0.11935,0.336175,,,,,,,,,,,,,,,,,,,,,,,,
1758585600000,2025-09-23 23:59:59.999,STBL,1d,0.3377,0.34984,0.36806,0.3377,3068452.0,2823,STBL,0.553,0.19061,0.37180500000000005,,,,,,,,,,,,,,,,,,,,,,,,
1758672000000,2025-09-24 23:59:59.999,STBL,1d,0.43569,0.48815,0.50353,0.43286,6996580.0,4773,STBL,0.553,0.22081,0.38690500000000005,,,,,,,,,,,,,,,,,,,,,,,,
1758758400000,2025-09-25 23:59:59.999,STBL,1d,0.56985,0.56858,0.59966,0.54857,5450442.0,6094,STBL,0.59966,0.31457,0.457115,,,,,,,,,,,,,,,,,,,,,,,,
1758844800000,2025-09-26 23:59:59.999,STBL,1d,0.45727,0.43109,0.47058,0.42413,6345333.0,7733,STBL,0.59966,0.31457,0.457115,0.59966,0.114,0.35683,,,,,,,,,,,,,,,,,,,,,
1758931200000,2025-09-27 23:59:59.999,STBL,1d,0.4284,0.41509,0.44248,0.41041,2942817.0,3349,STBL,0.59966,0.3377,0.46868,0.59966,0.11935,0.35950499999999996,,,,,,,,,,,,,,,,,,,,,
1759017600000,2025-09-28 23:59:59.999,STBL,1d,0.45106,0.41979,0.45339,0.41598,9798327.0,5862,STBL,0.59966,0.41041,0.505035,0.59966,0.19061,0.395135,,,,,,,,,,,,,,,,,,,,,
1759104000000,2025-09-29 23:59:59.999,STBL,1d,0.40795,0.41671,0.43333,0.39703,6051038.0,4919,STBL,0.59966,0.39703,0.498345,0.59966,0.22081,0.410235,,,,,,,,,,,,,,,,,,,,,
1759190400000,2025-09-30 23:59:59.999,STBL,1d,0.43761,0.44463,0.44592,0.41995,4278248.0,3811,STBL,0.47058,0.39703,0.433805,0.59966,0.31457,0.457115,,,,,,,,,,,,,,,,,,,,,
1759276800000,2025-10-01 23:59:59.999,STBL,1d,0.35216,0.34639,0.35452,0.34182,5235911.0,4027,STBL,0.45339,0.34182,0.397605,0.59966,0.31457,0.457115,,,,,,,,,,,,,,,,,,,,,
1759363200000,2025-10-02 23:59:59.999,STBL,1d,0.33717,0.35701,0.35715,0.33539,3230166.0,2478,STBL,0.45339,0.33539,0.39439,0.59966,0.33539,0.46752499999999997,,,,,,,,,,,,,,,,,,,,,
1759449600000,2025-10-03 23:59:59.999,STBL,1d,0.32096,0.25865,0.32149,0.25725,23494651.0,7521,STBL,0.44592,0.25725,0.351585,0.59966,0.25725,0.428455,,,,,,,,,,,,,,,,,,,,,
1759536000000,2025-10-04 23:59:59.999,STBL,1d,0.24756,0.26047,0.26446,0.24291,3112021.0,2487,STBL,0.44592,0.24291,0.34441499999999997,0.59966,0.24291,0.42128499999999997,,,,,,,,,,,,,,,,,,,,,
1759622400000,2025-10-05 23:59:59.999,STBL,1d,0.25765,0.26285,0.26298,0.24646,1189316.0,1006,STBL,0.35715,0.24291,0.30003,0.47058,0.24291,0.356745,,,,,,,,,,,,,,,,,,,,,
1759708800000,2025-10-06 23:59:59.999,STBL,1d,0.2959,0.30106,0.32077,0.29549,3132398.0,2224,STBL,0.35715,0.24291,0.30003,0.45339,0.24291,0.34815,0.59966,0.114,0.35683,,,,,,,,,,,,,,,,,,
1759795200000,2025-10-07 23:59:59.999,STBL,1d,0.30349,0.29509,0.30934,0.2863,2299861.0,1621,STBL,0.32149,0.24291,0.2822,0.45339,0.24291,0.34815,0.59966,0.11935,0.35950499999999996,,,,,,,,,,,,,,,,,,
1759881600000,2025-10-08 23:59:59.999,STBL,1d,0.30489,0.2884,0.30489,0.27873,6576721.0,2784,STBL,0.32077,0.24291,0.28184,0.44592,0.24291,0.34441499999999997,0.59966,0.19061,0.395135,,,,,,,,,,,,,,,,,,
1759968000000,2025-10-09 23:59:59.999,STBL,1d,0.2869,0.28809,0.28876,0.2783,2263840.0,1678,STBL,0.32077,0.24646,0.283615,0.44592,0.24291,0.34441499999999997,0.59966,0.22081,0.410235,,,,,,,,,,,,,,,,,,
1760054400000,2025-10-10 23:59:59.999,STBL,1d,0.21256,0.21081,0.2218,0.21081,2361592.0,1377,STBL,0.32077,0.21081,0.26578999999999997,0.35715,0.21081,0.28398,0.59966,0.21081,0.405235,,,,,,,,,,,,,,,,,,
1760140800000,2025-10-11 23:59:59.999,STBL,1d,0.10847,0.11452,0.12129,0.10729,17842781.0,4606,STBL,0.30934,0.10729,0.208315,0.35715,0.10729,0.23222,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,,,,
1760227200000,2025-10-12 23:59:59.999,STBL,1d,0.11235,0.11011,0.11657,0.1096,12757939.0,1513,STBL,0.30489,0.10729,0.20609,0.32149,0.10729,0.21439,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,,,,
1760313600000,2025-10-13 23:59:59.999,STBL,1d,0.13654,0.13333,0.13907,0.13196,4316412.0,1163,STBL,0.28876,0.10729,0.198025,0.32077,0.10729,0.21403,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,,,,
1760400000000,2025-10-14 23:59:59.999,STBL,1d,0.13644,0.14069,0.14207,0.13493,2777453.0,1053,STBL,0.2218,0.10729,0.164545,0.32077,0.10729,0.21403,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,,,,
1760486400000,2025-10-15 23:59:59.999,STBL,1d,0.12619,0.12238,0.1268,0.12025,4244256.0,1064,STBL,0.14207,0.10729,0.12468,0.32077,0.10729,0.21403,0.47058,0.10729,0.288935,,,,,,,,,,,,,,,,,,
1760572800000,2025-10-16 23:59:59.999,STBL,1d,0.1214,0.12324,0.12454,0.11972,1747829.0,524,STBL,0.14207,0.1096,0.125835,0.30934,0.10729,0.208315,0.45339,0.10729,0.28034000000000003,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,
1760659200000,2025-10-17 23:59:59.999,STBL,1d,0.13025,0.12759,0.13345,0.12732,2781456.0,919,STBL,0.14207,0.11972,0.13089499999999998,0.30489,0.10729,0.20609,0.45339,0.10729,0.28034000000000003,0.59966,0.10729,0.353475,,,,,,,,,,,,,,,
1760745600000,2025-10-18 23:59:59.999,STBL,1d,0.08351,0.085163,0.086353,0.082755,4875127.0,1219,STBL,0.14207,0.082755,0.1124125,0.28876,0.082755,0.18575750000000002,0.44592,0.082755,0.2643375,0.59966,0.082755,0.3412075,,,,,,,,,,,,,,,
