t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1752105600000,2025-07-10 23:59:59.999,PUMP,1d,0.004952,0.00526,0.015,0.003818,28630688566.0,185611,PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752192000000,2025-07-11 23:59:59.999,PUMP,1d,0.00526,0.00518,0.005353,0.004998,1826307619.0,14669,PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752278400000,2025-07-12 23:59:59.999,PUMP,1d,0.005571,0.005466,0.005709,0.00546,990215433.0,9089,PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752364800000,2025-07-13 23:59:59.999,PUMP,1d,0.006959,0.006598,0.007273,0.006356,7705628659.0,50768,PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752451200000,2025-07-14 23:59:59.999,PUMP,1d,0.006201,0.006168,0.0063,0.00598,3556917223.0,31027,PUMP,0.015,0.003818,0.009409,,,,,,,,,,,,,,,,,,,,,,,,
1752537600000,2025-07-15 23:59:59.999,PUMP,1d,0.005744,0.005902,0.006,0.005739,3889062296.0,18899,PUMP,0.007273,0.004998,0.0061355,,,,,,,,,,,,,,,,,,,,,,,,
1752624000000,2025-07-16 23:59:59.999,PUMP,1d,0.006805,0.006786,0.006841,0.006688,2197400666.0,10126,PUMP,0.007273,0.00546,0.0063665,,,,,,,,,,,,,,,,,,,,,,,,
1752710400000,2025-07-17 23:59:59.999,PUMP,1d,0.005876,0.00549,0.00597,0.005266,16128486901.0,55969,PUMP,0.007273,0.005266,0.0062695,,,,,,,,,,,,,,,,,,,,,,,,
1752796800000,2025-07-18 23:59:59.999,PUMP,1d,0.004933,0.004981,0.005014,0.004915,755115817.0,3800,PUMP,0.006841,0.004915,0.0058779999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1752883200000,2025-07-19 23:59:59.999,PUMP,1d,0.004204,0.004105,0.004237,0.004006,4042589085.0,16485,PUMP,0.006841,0.004006,0.0054234999999999995,0.015,0.003818,0.009409,,,,,,,,,,,,,,,,,,,,,
1752969600000,2025-07-20 23:59:59.999,PUMP,1d,0.004127,0.00429,0.004296,0.004074,3958124019.0,15892,PUMP,0.006841,0.004006,0.0054234999999999995,0.007273,0.004006,0.0056395,,,,,,,,,,,,,,,,,,,,,
1753056000000,2025-07-21 23:59:59.999,PUMP,1d,0.004234,0.00424,0.004257,0.00416,871798631.0,5033,PUMP,0.00597,0.004006,0.004987999999999999,0.007273,0.004006,0.0056395,,,,,,,,,,,,,,,,,,,,,
1753142400000,2025-07-22 23:59:59.999,PUMP,1d,0.004136,0.004014,0.004137,0.003994,4313864870.0,14733,PUMP,0.005014,0.003994,0.004504,0.007273,0.003994,0.0056335,,,,,,,,,,,,,,,,,,,,,
1753228800000,2025-07-23 23:59:59.999,PUMP,1d,0.003822,0.003773,0.003829,0.003752,439207669.0,1704,PUMP,0.004296,0.003752,0.004024,0.006841,0.003752,0.0052965,,,,,,,,,,,,,,,,,,,,,
1753315200000,2025-07-24 23:59:59.999,PUMP,1d,0.003076,0.003153,0.003154,0.003067,952044680.0,2546,PUMP,0.004296,0.003067,0.0036815,0.006841,0.003067,0.004954,,,,,,,,,,,,,,,,,,,,,
1753401600000,2025-07-25 23:59:59.999,PUMP,1d,0.002653,0.002553,0.002675,0.002541,3150168461.0,6623,PUMP,0.004257,0.002541,0.003399,0.006841,0.002541,0.004691,,,,,,,,,,,,,,,,,,,,,
1753488000000,2025-07-26 23:59:59.999,PUMP,1d,0.002746,0.002786,0.0028,0.002722,2913723838.0,8367,PUMP,0.004137,0.002541,0.003339,0.00597,0.002541,0.0042555,,,,,,,,,,,,,,,,,,,,,
1753574400000,2025-07-27 23:59:59.999,PUMP,1d,0.002858,0.002915,0.00292,0.002828,1862059456.0,6659,PUMP,0.003829,0.002541,0.003185,0.005014,0.002541,0.0037775,,,,,,,,,,,,,,,,,,,,,
1753660800000,2025-07-28 23:59:59.999,PUMP,1d,0.002636,0.002706,0.002727,0.002608,2429212542.0,7502,PUMP,0.003154,0.002541,0.0028475,0.004296,0.002541,0.0034185,,,,,,,,,,,,,,,,,,,,,
1753747200000,2025-07-29 23:59:59.999,PUMP,1d,0.002446,0.002383,0.002456,0.002378,1928185149.0,5256,PUMP,0.00292,0.002378,0.002649,0.004296,0.002378,0.003337,0.015,0.002378,0.008688999999999999,,,,,,,,,,,,,,,,,,
1753833600000,2025-07-30 23:59:59.999,PUMP,1d,0.002812,0.002791,0.002846,0.002714,2559880202.0,6322,PUMP,0.00292,0.002378,0.002649,0.004257,0.002378,0.0033175,0.007273,0.002378,0.0048255,,,,,,,,,,,,,,,,,,
